address,floor_area,agent_name,baths,beds,price
"4 Birchdale Close, Kinsealy, Co. Dublin",85 m²,,1 Bath,3 Bed,"€340,000 "
"17 Silver Birches, Dundrum, Dublin 14",280 m²,,3 Bath,5 Bed,"€1,495,000 "
"20 Castleknock Vale, Castleknock, Dublin 15",76 m²,,1 Bath,3 Bed,"€400,000 "
"Apartment 39, The Waxworks Building, Ashtown, Dublin 15",72 m²,,2 Bath,2 Bed,"€340,000 "
"17 Cathedral View Walk, Dublin 8",81 m²,,1 Bath,3 Bed,"€400,000 "
"56 Keeper Road, Drimnagh, Drimnagh, Dublin 12",,,1 Bath,3 Bed,"€350,000 "
"6 Saint Edmunds Park, Lucan, Co. Dublin",109 m²,,3 Bath,3 Bed,"€375,000 "
"62 Birchwood Drive, Tallaght, Tallaght, Dublin 24",83 m²,,1 Bath,3 Bed,"€249,000 "
"Apartment 90, Drynam House, Drynam Drive, Kinsealy, Co. Dublin",70 m²,,2 Bath,2 Bed,"€240,000 "
"22 Brownsbarn Wood, Kingswood, Tallaght, Dublin 24",,,4 Bath,4 Bed,"€545,000 "
"29 Arkle Square, The Chase, Stillorgan, Co. Dublin",128 m²,,2 Bath,3 Bed,"€645,000 "
"128 Caledon Road, East Wall, East Wall, Dublin 3",55 m²,,,2 Bed,"€300,000 "
"5 Saint Pancras Avenue, Dublin 6W",186 m²,,3 Bath,4 Bed,"€1,100,000 "
"Gort An Eibhir, 107 Granitefield, Dun Laoghaire, Co. Dublin",131 m²,,2 Bath,3 Bed,"€594,950 "
"46 Errigal Road, Drimnagh, Drimnagh, Dublin 12",89 m²,,1 Bath,3 Bed,"€290,000 "
"41 Offington Lawn, Sutton, Sutton, Dublin 13",146 m²,,2 Bath,4 Bed,"€890,000 "
"1 Carrig Court, Citywest, Co. Dublin",66 m²,,2 Bath,2 Bed,"€225,000 "
"Apartment 49, Liberty Court, Clanbrassil Street Lower, Dublin 8",63 m²,,2 Bath,2 Bed,"€325,000 "
"23 Gracefield Avenue, Artane, Artane, Dublin 5",111 m²,,1 Bath,3 Bed,"€495,000 "
"Apartment 3, Windmill Park, Windmill Terrace, Clonsilla, Dublin 15",50 m²,,1 Bath,1 Bed,"€200,000 "
"59 Castleknock Laurels, Castleknock, Dublin 15",101 m²,,2 Bath,3 Bed,"€490,000 "
"3 Burrow Lane, Sutton, Dublin 13",113 m²,,2 Bath,2 Bed,"€725,000 "
"64 Parnell Road, Harolds Cross, Crumlin, Dublin 12",60 m²,,1 Bath,2 Bed,"€350,000 "
"2 Burrow Lane, Sutton, Dublin 13",127 m²,,3 Bath,3 Bed,"€850,000 "
"1 Burrow Lane, Sutton, Dublin 13",127 m²,,3 Bath,3 Bed,"€850,000 "
"230 St Peters Road, Walkinstown, Greenhills, Dublin 12",92 m²,,1 Bath,3 Bed,"€375,000 "
"24 Greygates, Mount Merrion, Co. Dublin",145 m²,,1 Bath,5 Bed,"€950,000 "
"6 Grange View Grove, Clondalkin, Dublin 22",,,,,"AMV: €210,000 "
"Apartment 172, Millpark, Clondalkin, Dublin 22",,,2 Bath,3 Bed,"AMV: €200,000 "
"13 Parnell Road, Harold's Cross, Dublin 12",145 m²,,3 Bath,3 Bed,"€750,000 "
"50A Gracefield Avenue, Artane, Dublin 5",,,1 Bath,2 Bed,"AMV: €350,000 "
"50 Gracefield Avenue, Artane, Dublin 5",,,1 Bath,3 Bed,"AMV: €370,000 "
"21 Woodlawn Park, Dun Laoghaire, Co. Dublin",118 m²,,2 Bath,4 Bed,"€695,000 "
"29 Blackpitts, Dublin 8",120 m²,,3 Bath,5 Bed,"€495,000 "
"24 Granitefield Mews, Granitefield Manor, Dun Laoghaire, Co. Dublin",50 m²,,1 Bath,1 Bed,"€294,950 "
"5 Broadfield View, Broadfield Manor, Rathcoole, Co. Dublin",60 m²,,1 Bath,2 Bed,"€285,000 "
"11 Fortfield Court, Fortfield Road, Terenure, Dublin 6",50 m²,,1 Bath,1 Bed,"€305,000 "
"189 Errigal Road, Drimnagh, Walkinstown, Dublin 12",,,2 Bath,3 Bed,"€324,950 "
"36 Shrewsbury Park, Ballsbridge, Dublin 4",136 m²,,3 Bath,4 Bed,"€975,000 "
"4 Belarmine Park, Stepaside, Dublin 18",216 m²,,4 Bath,4 Bed,"€975,000 "
